,CAD_N,STATUS,C_COST,AREA,UTL_ID,UTL_DOC,OBJ_WKT
27863,18:08:135002:516,1,134310.0,1500.0,003002000000,Для ведения личного подсобного хозяйства,"MULTIPOLYGON (((53.3827865165340040 56.9682058492044520,53.3825620797332050 56.9679902986423560,53.3833375105081630 56.9677516601100320,53.3835635848053580 56.9679693666622240,53.3827865165340040 56.9682058492044520)))"
27976,18:08:135002:857,6,183557.0,2050.0,003002000000,Для индивидуального жилищного строительства,"MULTIPOLYGON (((53.3811695807759180 56.9684895069398320,53.3822277911450700 56.9681831889454030,53.3824483084005760 56.9683927182626700,53.3814345695379090 56.9687166988749070,53.3811695807759180 56.9684895069398320)))"
39055,18:08:152001:424,1,141730.84,1500.0,003002000000,Для индивидуального жилищного строительства,"MULTIPOLYGON (((53.2584991546916480 56.9604570873653200,53.2589685863015350 56.9603761039338820,53.2591719511974800 56.9608147122049930,53.2587046100089130 56.9609009994809130,53.2584991546916480 56.9604570873653200)))"
39110,18:08:152001:48,1,340210.11,2640.0,003002000000,Для ведения личного подсобного хозяйства,"MULTIPOLYGON (((53.2645589831966010 56.9664138633750810,53.2645532469599560 56.9663900532638930,53.2643433986886310 56.9662062021887510,53.2646873603396640 56.9661372131107770,53.2647805551493430 56.9661183881815990,53.2650680541115160 56.9660587880172000,53.2652038661967210 56.9662502818228300,53.2653226007623250 56.9664177599704050,53.2655958419904250 56.9668051507259530,53.2651207436340360 56.9669090451230180,53.2650016226616500 56.9667490193203460,53.2648505933516890 56.9667845051052810,53.2645589831966010 56.9664138633750810)))"
57929,18:08:019003:1230,6,237056.73,1653.0,003002000000,Индивидуальное жилищное строительство и ведение личного подсобного хозяйства,"MULTIPOLYGON (((53.3101584227022370 56.9589838146559370,53.3109035469036100 56.9594135886113120,53.3105856556664650 56.9595668972051360,53.3098417154435820 56.9591065018349810,53.3101584227022370 56.9589838146559370)))"
58458,18:08:019003:1860,6,124557.1,1307.0,003002000000,"индивидуальное жилищное строительство,рекреационное назначение","MULTIPOLYGON (((53.2902300676007950 56.9707489964680820,53.2906242200309780 56.9706020941248780,53.2910421622009450 56.9709355795182970,53.2906481710570790 56.9710826631068130,53.2902300676007950 56.9707489964680820)))"
58601,18:08:019003:1993,6,107307.8,1126.0,003002000000,"Индивидуальное жилищное строительство,рекреационное назначение","MULTIPOLYGON (((53.2904104315798150 56.9685062589184530,53.2907500000540250 56.9683794477683490,53.2911680823071590 56.9687130229791590,53.2908283484260180 56.9688397451161560,53.2904104315798150 56.9685062589184530)))"
58681,18:08:019003:2066,6,112835.2,1184.0,003002000000,"индивидуальное жилищное строительство,рекреационное назначение","MULTIPOLYGON (((53.2932328173891460 56.9692311166717500,53.2937609545526810 56.9690341018552570,53.2940544237529320 56.9692509413342090,53.2935114489879210 56.9694535843330390,53.2932328173891460 56.9692311166717500)))"
58682,18:08:019003:2067,6,106164.2,1114.0,003002000000,"индивидуальное жилищное строительство,рекреационное назначение","MULTIPOLYGON (((53.2935114489879210 56.9694535843330390,53.2940544237529320 56.9692509413342090,53.2943235219762950 56.9694497702817910,53.2937670299021140 56.9696573257295570,53.2935114489879210 56.9694535843330390)))"
58726,18:08:019003:2106,6,106736.0,1120.0,003002000000,"индивидуальное жилищное строительство,рекреационное назначение","MULTIPOLYGON (((53.2937670299021140 56.9696573257295570,53.2943235219762950 56.9694497702817910,53.2945875514576600 56.9696449064872680,53.2940177052066200 56.9698575543513210,53.2937670299021140 56.9696573257295570)))"
